scenario,state,buy_share,avg_delta,count
HighIns,AR,0.13309894525364138,33607.06553381578,59
HighIns,AZ,0.02747869740405575,59459.34118166293,186
HighIns,CA,8.605259534627564e-05,226412.01147045134,932
HighIns,CO,0.008150575581883875,93812.60056190983,181
HighIns,CT,0.04242216900444749,81962.4239736787,105
HighIns,DC,0.008572869389813415,127625.12508462957,22
HighIns,DE,0.20125786163522014,29530.813882805596,23
HighIns,FL,0.19908647722780975,38640.69130242937,671
HighIns,GA,0.2198884537795182,37835.47317613604,242
HighIns,HI,0.0,171272.60022945597,30
HighIns,IA,0.05521472392638037,34555.717743194975,60
HighIns,ID,0.0,89495.8219861424,44
HighIns,IL,0.215247487198938,27884.81019875362,251
HighIns,IN,0.30788590604026844,17957.18835303663,158
HighIns,KS,0.21965529886321966,33136.21469082319,75
HighIns,KY,0.15755127408328154,28555.214453509663,85
HighIns,LA,0.1675465407057516,31939.213264195834,97
HighIns,MA,0.008262424466642002,139767.58280858156,178
HighIns,MD,0.18963165075034105,51770.98886723431,152
HighIns,ME,0.0,74656.20756111045,28
HighIns,MI,0.3815896850008161,18095.56887005347,207
HighIns,MN,0.051341439876471724,50787.88235921645,139
HighIns,MO,0.26799541152853457,24311.844364059576,158
HighIns,MS,0.26660600545950863,12112.555171143295,40
HighIns,MT,0.0,119171.83804662932,27
HighIns,NC,0.12902013826269912,51664.89770294143,230
HighIns,ND,0.0,57146.18864253636,17
HighIns,NE,0.09834638816362054,39183.06622361134,56
HighIns,NH,0.0,81274.20912392226,30
HighIns,NJ,0.05957907768492727,90207.35512582773,229
HighIns,NM,0.014522821576763486,44718.44015297227,38
HighIns,NV,0.019885589757559247,56788.11713813686,86
HighIns,NY,0.05653094259743494,177990.7674977763,363
HighIns,OH,0.29974871365322486,24472.02360404973,259
HighIns,OK,0.3176761433868974,14290.346644966994,101
HighIns,OR,0.0,108908.13475576445,122
HighIns,PA,0.2473946108346634,34233.14043835474,309
HighIns,RI,0.046468401486988845,74432.10295013936,33
HighIns,SC,0.1688708036622584,44027.623760918264,119
HighIns,SD,0.0,56847.61270061581,17
HighIns,TN,0.14958338844068245,56558.88129456142,146
HighIns,TX,0.18009931245225363,48044.39024402628,708
HighIns,UT,0.0,121909.12917972039,77
HighIns,VA,0.027886031003723912,77727.82162924543,206
HighIns,VT,0.0,62616.99510244414,9
HighIns,WA,0.0017215568862275449,148542.96997993134,221
HighIns,WI,0.09747835905156191,49875.0677719511,117
HighIns,WV,0.12755102040816327,17650.82334506912,27
HighIns,WY,0.0,64889.583663260266,18
